sku,p_type,weight
	1610190065311,单属性,169.0
	1610190025211,单属性,610.0
	1610210152511,单属性,177.0
QC28175,单属性,168.0
	1610210077111,单属性,35.0
QC35594,单属性,160.0
QC21022,单属性,160.0
QC28224,单属性,188.0
	1610200044412,多属性,63.0
	1610210022412,多属性,80.0
QC00158,单属性,30.0
	1610210042215,多属性,23.0
	1610210042211,多属性,23.0
	1610210023011,多属性,100.0
	1610190032311,单属性,35.0
	1610210042214,多属性,23.0
QC01659-02,多属性,15.0
QC32043,单属性,24.0
	1610200047313,多属性,33.0
	1610200128814,多属性,35.0
	1610190030711,单属性,45.0
	1610210022411,多属性,80.0
	1610190039011,单属性,64.0
	1610210022813,多属性,90.0
	1610200047215,多属性,59.0
	1610190031611,单属性,35.0
	1610210023013,多属性,80.0
	1610210042212,多属性,23.0
	1610200128811,多属性,35.0
QC37481,单属性,45.0
	1610210022811,多属性,90.0
	1610200020411,单属性,45.0
QC36898-02,多属性,66.0
QC00300,单属性,20.0
	1610200128815,多属性,35.0
	1610190029511,单属性,45.0
	1610200045713,多属性,58.0
	1610200045714,多属性,58.0
	1610200042711,多属性,60.0
QC14203,单属性,12.0
	1610210028111,单属性,57.0
	1610210022414,多属性,80.0
	1610200043811,多属性,63.0
QC37021-02,多属性,66.0
	1610190042211,单属性,77.0
	1610200045512,多属性,67.0
	1610210023012,多属性,100.0
	1610190042311,单属性,62.0
QC36948,单属性,41.0
	1610190030811,单属性,45.0
	1610210022814,多属性,90.0
	1610200048511,多属性,68.0
	1610200043814,多属性,63.0
	1610200043815,多属性,28.0
QC36898-01,多属性,66.0
	1610210022413,多属性,80.0
	1610210022812,多属性,90.0
QC28799-01,多属性,50.0
QC28758,单属性,50.0
	1610200043312,多属性,61.0
QC03977-02,多属性,55.0
	1610200046614,多属性,60.0
	1610200111011,多属性,75.0
QC28738,单属性,50.0
	1610200046415,多属性,68.0
QC11068,单属性,32.0
	1611200031311,单属性,205.0
	1611210073911,单属性,181.0
	1611210071211,单属性,154.0
QC15392,单属性,15.0
QC26590,单属性,620.0
	1614210107411,单属性,98.0
QC14840,单属性,37.0
	1614210107511,单属性,93.0
	1614210107011,单属性,199.0
QC14841,单属性,33.0
QC26605,单属性,393.0
QC14917,单属性,115.0
QC17871-05,多属性,94.0
QC15080,单属性,30.0
QC14932,单属性,64.0
	1614210105711,单属性,165.0
	1614210107811,单属性,180.0
	1614210107211,单属性,161.0
	1614210133811,单属性,54.0
	1614210106211,单属性,24.0
	1614210106611,单属性,61.0
	10325398,多属性,500.0
	1614210107311,单属性,164.0
QC14994,单属性,24.0
	3116190014211,单属性,3404.0
	3116190014611,单属性,2726.0
	10331276,多属性,2400.0
	10331363,多属性,1300.0
	1614220006811,单属性,1000.0
	10330005,多属性,800.0
	10330041,多属性,1200.0
	1611210023011,单属性,30.0
	1612200006211,单属性,2750.0
	10035481,多属性,680.0
	10328751,多属性,350.0
	1617210010811,单属性,446.0
	3111210432211,单属性,4022.0
	1614210107911,单属性,191.0
QC15271,单属性,10.0
	3116190014111,单属性,4001.0
	1614220007511,单属性,1000.0
	10330022,多属性,1200.0
	2613220030811,多属性,60.0
	2610210249711,单属性,68.0
QC03579,单属性,509.0
	1619210075011,单属性,536.0
	2613220065511,多属性,54.0
	2610210247611,多属性,68.0
	1610210088611,单属性,423.0
	1610200099811,单属性,1228.0
	1610220035511,单属性,929.0
	1610200032811,单属性,667.0
	1619220108811,单属性,729.0
	1610210066511,多属性,1634.0
	2610210247615,多属性,70.0
	2613220020311,单属性,517.0
	2610210247614,多属性,68.0
	1610200105412,多属性,431.0
	1610200129211,单属性,983.0
	2610210248611,单属性,81.0
	1610200096711,单属性,600.0
	1610220061412,多属性,5500.0
	2610210389511,单属性,62.0
XD01080,单属性,579.0
	1619210071911,单属性,653.0
	2613220065711,多属性,54.0
	2613220065811,多属性,60.0
	1610200032011,单属性,660.0
	2610210247617,多属性,68.0
